Game,Watch time (hours),Streamers,Average channels
1954 Alcatraz,1280.9583333333333,49.041666666666664,0.0
1955 - The Secret Mission,81.0,1.0,0.0
1960s Locospotter,16.0,1.0,0.0
1968,102.0,3.0,0.0
1971 Project Helios,107.0,3.0,0.0
1971: Indian Naval Front,1.0,0.0,0.0
1976: Back to Midway,6.0,2.0,0.0
1977: Radio Aut,41.0,1.0,0.0
1979 Revolution: Black Friday,4122.285714285715,89.14285714285714,0.0
1979: The Game,1409.0,5.0,0.0
1980,21.0,4.0,0.0
1980's Mode: Yandere Simulator,12663.0,1742.0,0.0
1982,98.4,23.4,0.0
1984,965.0,3.6666666666666665,0.0
1984 Locospotter,9.0,1.0,0.0
1984 Rewired,112.0,4.0,0.0
1985: The Day After,1610.0,1.0,0.0
198X,12399.333333333334,237.33333333333334,0.0
1990,1.0,0.0,0.0
1993 Space Machine,113.16666666666667,13.666666666666666,0.0
1993tris,2.0,1.0,0.0
1994 (Ten Years After),2.0,1.0,0.0
1994 Locospotter,19.0,1.0,0.0
1998,6.0,1.0,0.0
1999,855.4,3.6,0.0
199X,22.0,1.6666666666666667,0.0
19:03 Ueno Hatsu Yakou Ressha,465.0,0.3333333333333333,0.0
19XX: The War Against Destiny,239.0,8.0,0.0
1BIT CASTLE,3.0,2.0,0.0
1BeatHeart,93.5,3.75,0.0
1Check,1.0,1.0,0.0
1Heart,298.4,4.2,0.0
1Key Minigolf,17.5,3.0,0.0
1Key Rocket Launcher,199.5,44.0,0.0
1bitHeart,3011.5,75.83333333333333,0.0
1nsane,54.0,5.25,0.0
1on1 Basketball,42.0,1.0,0.0
1sland,11555.0,5.0,0.0
1st CD-Edition,3.0,1.0,0.0
1st Division Manager,3.0,1.0,0.0
1st Grade,2.0,2.0,0.0
1v1 Battle,195.0,157.0,0.0
1v1.LOL,308099.5,19047.0,8.5
1vs1: Battle Royale for the throne,1973.0,133.5,0.0
1½ Knights: In Search of the Ravishing Princess Herzelinde,91.66666666666667,1.1666666666666667,0.0
2,1351.0,49.0,0.0
2 3 4 Player Games,76.0,9.0,0.0
2 Days to Vegas,691.75,0.25,0.0
2 Fast 4 Gnomz,20.5,1.5,0.0
2 Fast 4 You,8.0,1.0,0.0
2 Games In 1: Disney's Brother Bear + Disney Princess,6.0,1.0,0.0
2 Games In 1: Golden Nugget Casino & Texas Hold 'Em Poker,14.5,2.0,0.0
2 Games In 1: Sonic Pinball Party + Columns Crown,362.0,1.0,0.0
2 Games In 1: The SpongeBob SquarePants Movie + SpongeBob SquarePants and Friends in Freeze Frame Frenzy,1051.6666666666667,4.0,0.0
2 Games in 1 Double Pack: Power Rangers Ninja Storm + Power Rangers Time Force,11.0,1.0,0.0
2 Games in 1: Disney Princess + Disney's The Lion King,30.0,3.0,0.0
2 Games in 1: GT 3 Advance: Pro Concept Racing + Moto GP: Ultimate Racing Technology,27.5,1.0,0.0
2 Games in 1: Sonic Advance + Sonic Battle,39.0,1.0,0.0
2 Games in 1: Sonic Pinball Party + Sonic Battle,941.0,1.0,0.0
2 Games in 1: SpongeBob SquarePants: Battle for Bikini Bottom + SpongeBob SquarePants: Supersponge,523.6666666666666,4.0,0.0
2 Hits Pack: Sonic Forces/Puyo Puyo Tetris,43.5,2.0,0.0
2 Hot 2 Handle,20.5,1.0,0.0
2 In 1 Game Pack: Spider-Man + Spider-Man 2,86.6,5.2,0.0
2 In 1 Game Pack: Tony Hawk's Underground + Kelly Slater's Pro Surfer,16.0,2.5,0.0
2 In 1: Asterix & Obelix: Bash Them All! + Asterix & Obelix XXL,265.25,10.25,0.0
2 Ninjas 1 Cup,1076.0,10.8,0.0
2 Planets Fire and Ice,5.0,1.0,0.0
2 Player Soccer Squad,78.0,1.0,0.0
2 Spicy,42.5,1.0,0.0
2 Synchro Hedgehogs,123.0,35.0,0.0
2 in 1 - Dora the Explorer: Pirate Pig's Treasure & Dora the Explorer: Super Star Adventures,9.5,1.5,0.0
2 in 1 - Hot Wheels Stunt Track Challenge & Hot Wheels World Race,25.0,2.0,0.0
2 in 1 Game Pack: DreamWorks' Shark Tale + Shrek 2,186.0,2.3333333333333335,0.0
2 in 1 Game Pack: Spider-Man: Mysterio's Menace + X2: Wolverine's Revenge,2375.5714285714284,1.5714285714285714,0.0
2 jeux en 1: Titeuf: Ze Gag Machine + Titeuf: Méga compet',95.33333333333333,9.333333333333334,0.0
2 on 2 Open Ice Challenge,17.0,1.0,0.0
2-Dates Dating Simulator,284.0,2.0,0.0
2-In-1 Fun Pack: Dreamworks Madagascar: Operation Penguin + Dreamworks Shrek 2,10.0,2.0,0.0
20 Billion Wives,11.0,1.6666666666666667,0.0
20 Bunnies,614.0,9.0,0.0
20 Games To Play With Your Mates,30.0,2.0,0.0
20 Minute Metropolis,122.0,13.0,0.0
20 Minutes Till Dawn,1265434.0,7381.0,2.0
20 Tons,10.0,1.0,0.0
20 em 1,6.0,2.0,0.0
"20,000 Leagues Above the Clouds",0.0,0.0,0.0
"20,000 Leagues Under the Sea",17.25,2.0,0.0
200% Mixed Juice!,331.5,21.333333333333332,0.0
20000 Atmospheres,39.0,2.0,0.0
2000:1: A Space Felony (Or How I Came To Value My Life And Murder Mercilessly),225.0,30.8,0.0
2001,120.4,2.6,0.0
2002 FIFA World Cup,616.1428571428571,16.857142857142858,0.0
2005 AtariAge Holiday Cart: Reindeer Rescue,2.0,1.0,0.0
2005 Minigame Multicart,4.0,0.0,0.0
2006 FIFA World Cup,1351.0,21.333333333333332,0.0
2007: A Spectrum Odyssey,44.5,2.5,0.0
2010 FIFA World Cup South Africa,8595.666666666666,21.166666666666668,0.0
2010: The Graphic Action Game,215.0,1.0,0.0
2012 Apocalypse,311.0,1.0,0.0
2013: Infected Wars,2.0,1.0,0.0
2014 FIFA World Cup Brazil,1260.4285714285713,19.571428571428573,0.0
2020 Super Baseball,227.0,11.0,0.0
2020 The God of Highschool with NAVER WEBTOON,811.0,7.0,0.0
2020 Vision,5.0,0.0,0.0
2020: My Country,2003.0,1.6666666666666667,0.0
2029 Online,38.0,3.0,0.0
2033: Das Erschwachen der Macht,335.0,1.0,0.0
2048,7320.1,168.9,0.0
2048 5x5,6042.0,6.0,0.0
2048 6x6,986.0,5.0,0.0
2048 CAT,334.0,3.0,0.0
2048 Hex,2179.0,7.0,0.0
2048 Knight,0.0,1.0,0.0
2048 Plus,16.0,1.0,0.0
2048 Puzzle,17.0,3.0,0.0
2048 Q,11.0,1.0,0.0
2048 solitaire,5.0,1.0,0.0
2048: Bee The Swarm,91.0,3.0,0.0
2060 Cyber Racer,76.0,1.0,0.0
2064: Read Only Memories,8682.57142857143,197.42857142857142,0.0
2064: Read Only Memories Integral,775.0,12.5,0.0
2076: Midway Multiverse,21.0,2.0,0.0
2084,400.3333333333333,22.0,0.0
2089: Space Divided,3576.0,23.0,0.0
20XX,51950.857142857145,1405.142857142857,0.0
20th Century Video Almanac,26.0,2.0,0.0
20x20x20,118.0,4.0,0.0
21,424.14285714285717,8.857142857142858,0.0
21 Blitz,5.0,1.0,0.0
21 Card Games,15.0,1.0,0.0
21 Days,4048.6666666666665,4.0,0.0
21 Steps to Soul,2.0,0.5,0.0
21-en,8.0,1.0,0.0
2112TD,3217.5,5.0,0.0
2173d828-7b72-44f7-ad68-38ce446a2283,1121.0,3.5,0.0
21: Blackjack,607.75,16.0,0.0
22 Racing Series,1071.6666666666667,9.666666666666666,0.0
22 Space monster,1.0,0.0,0.0
221B Baker Street,16.75,1.75,0.0
222,108.0,3.0,0.0
222 Hearts,644.5,4.5,0.0
2310 seconds in HELL,164.0,17.0,0.0
23UL,9.0,1.0,0.0
24 Games For Windows 95,83.0,5.0,0.0
24 Hours,19011.5,154.5,0.0
24 Locks,4.0,1.0,0.0
24 Pinball,125.6,3.6,0.0
24 Special Ops,5.0,1.0,0.0
24/7 Solitaire,5.0,0.0,0.0
24/7 Soltaire!,6.571428571428571,1.5714285714285714,0.0
2400 A.D.,5.0,1.0,0.0
24: The Game,1500.0,14.428571428571429,0.0
24a11feb-48d8-4322-9c30-95e712a9ca9f,536.5,5.0,0.0
25 Layers of Pain,1.0,0.0,0.0
25 To Life,1010.5,31.0,0.0
"25,000 Sudoku Puzzles",1.0,0.0,0.0
250 Mannin no Kanken: Wii de Tokoton Kanji Nou,53.0,4.0,0.0
